Z [IMP],Z [mm],X [IMP],X [mm],Yaw [deg]
"27' 11"" 3/8",8518.17,"-2' 7"" 1/16",-429.65,-0.0
"27' 11"" 13/16",8529.62,"-2' 7"" 1/16",-430.17,-0.0
"28' 0"" 7/8",8556.23,"-2' 7"" 0",-431.29,-0.0
"27' 11"" 0",8509.03,"-2' 7"" 1/8",-429.23,-0.0
"27' 11"" 3/16",8513.42,"-2' 7"" 1/16",-429.46,-0.0
"28' 0"" 7/16",8545.55,"-2' 7"" 1/16",-430.81,0.0
"27' 9"" 3/4",8477.7,"-2' 7"" 3/16",-427.8,-0.0
"27' 8"" 7/8",8454.66,"-2' 7"" 3/16",-426.92,-0.0
"33' 10"" 7/16",10323.75,"-1' 6"" 9/16",-138.83,-0.36
"33' 7"" 3/4",10255.36,"-1' 6"" 9/16",-138.33,-0.36
"33' 5"" 7/16",10196.53,"-1' 6"" 9/16",-137.87,-0.36
"33' 5"" 13/16",10205.52,"-1' 6"" 9/16",-137.96,-0.36
